Отметка времени;Как к вам стоит обращаться?;Укажите вашу специальность;В каком формате ваше обучение проходит сейчас?;Какая форма наиболее предпочтительна вам?;Почему?;Сколько в среднем часов в день вы тратите на учебу, не считая посещения пар?;Сколько дней в неделю вы не высыпаетесь из-за учебы?;Насколько вы довольны своим общением в однокурсниками?;Насколько вы довольны своим общением в преподавателями?;Насколько вы довольны своей успеваемостью по учебе?;Насколько вам хватает времени и сил на учебу?;Оцените насколько по вашему мнению учеба влияет на ваш уровень стресса?;Test1
21.04.2021 0:15:23;;Другое;Очно в вузе;Смешанный формат;Гораздо проще сосредотачиваться и быть продуктивным в очном формате, потому как, если уж пришел в вуз, то что-то надо делать. И так же удобно взаимодействовать с преподавателем и получать общение и помощь от одногруппников. Но иногда, мне кажется, нужны денёчки в дистанционном формате, чтобы выспаться, не тратить время на дорогу и комфортно в своем темпе посамообучаться или быть на лекции онлайн.;Менее часа;3;3;4;3;3;4;79.0
21.04.2021 0:25:50;Руслан;Техническая;Смешанный формат;Смешанный формат;Удобно, тратиться меньше времени на дорогу;3-6 часов;4;4;3;4;2;4;84.5
21.04.2021 0:30:40;Анастасия;Техническая;Смешанный формат;Очно в вузе;Атмосфера дома не способствует обучению. Лично у меня работоспособность выше в подходящей обстановке, которую дома создать сложно. ;Более 6 часов;6;5;5;2;2;5;109.0
21.04.2021 0:36:24;9-й студент группы Э-01-18;Техническая;Смешанный формат;Смешанный формат;На дистанте понравилось создавать электронные конспекты, все пары записываются на видео и можно легко пересмотреть. Но и ходить хотя бы на физ-ру тоже надо. [И для таких длинных ответов нужна многострочная форма, а не однострочная! Спасибо];Более 6 часов;2;4;3;5;4;2;63.0
21.04.2021 3:03:45;;Другое;Очно в вузе;Дистанционно;;1-3 часа;7;4;3;2;2;5;160.5
21.04.2021 5:54:05;Ольга;Техническая;Смешанный формат;Смешанный формат;Удобно ;1-3 часа;5;5;4;2;2;5;107.0
21.04.2021 7:19:29;Сергей;Техническая;Смешанный формат;Смешанный формат;;3-6 часов;3;4;3;3;3;4;75.5
21.04.2021 10:47:54;Настасья ;Техническая;Смешанный формат;Дистанционно;Меньше стресса, больгп времени на другие интересы и спорт, также можно пересматривать лекции, если что то не успел понять. ;Более 6 часов;7;3;4;5;4;5;74.0
21.04.2021 11:07:53;Кристина ;Социальная;Дистанционно;Заочно;Занимает меньше времени ;3-6 часов;5;5;3;4;3;4;154.0
21.04.2021 21:34:46;Полина;Другое;Очно в вузе;Очно в вузе;Не могу концентрироваться, сложно заставить себя что-то делать;1-3 часа;6;5;5;4;4;2;88.5
21.04.2021 21:45:30;Великолепный Человек-Паук;Техническая;Смешанный формат;Смешанный формат;Дома удобнее учиться, но иногда хочется подвигаться и встретиться с коллегами;3-6 часов;0;2;3;3;1;5;91.0
22.04.2021 12:23:24;;Техническая;Очно в вузе;Очно в вузе;;1-3 часа;1;5;3;4;5;3;39.0
22.04.2021 13:26:01;По имени ;Техническая;Очно в вузе;Смешанный формат;Посещение универа забирает много сил, всегда устаешь после него;Более 6 часов;6;4;3;3;2;5;130.5
22.04.2021 13:52:27;Роман;Техническая;Очно в вузе;Дистанционно;Удобнее работать со структурированным материалом в электронном формате, всегда иметь к нему доступ, иметь видеозаписи лекций и семинаров;1-3 часа;5;2;2;3;2;5;100.5
22.04.2021 19:02:15;Полина;Техническая;Смешанный формат;Смешанный формат;Семинары продуктивнее проходят очно, а лекции удобно слушать из дома. ;1-3 часа;1;4;4;4;4;5;90.5
22.04.2021 22:06:12;маэстро;Техническая;Смешанный формат;Дистанционно;смотреть лекции из кроватки и не просыпаться рано;1-3 часа;3;4;2;3;2;4;102.5
